Nombre,Codigo
"IMPUGNAC DIRECTA ACTOS ADMIN. DEFINITIVOS COL. O CON. PROFESION. ", 413
"IMPUGNACION CONTRA RESOLUCION DEL TRIBUNAL DE CUENTAS ", 408
"IMPUGNACION CONTRA SENTENCIA DEL TRIBUNAL FISCAL DE APELACION ", 409
"ACCION RECOMPOSICION AMBIENTAL ", 397
"AMPARO ", 301
"AMPARO POR MORA ", 305
"APREMIO PROVINCIAL ", 310
"BENEFICIO DE LITIGAR SIN GASTOS - EMPL.PUBLICO ", 355
"BENEFICIO DE LITIGAR SIN GASTOS - OTROS JUICIOS ", 385
"BENEFICIO DE LITIGAR SIN GASTOS - PREVISION ", 325
"CUESTION DE COMPETENCIA - EMPL.PUBLICO ", 342
"CUESTION DE COMPETENCIA - OTROS JUICIOS ", 372
"CUESTION DE COMPETENCIA - PREVISION ", 312
"DILIGENCIA PRELIMINAR - EMPL.PUBLICO ", 343
"DILIGENCIA PRELIMINAR - OTROS JUICIOS ", 373
"DILIGENCIA PRELIMINAR - PREVISION ", 313
"EJECUCION DE HONORARIOS - EMPL.PUBLICO ", 356
"EJECUCION DE HONORARIOS - OTROS JUICIOS ", 386
"EJECUCION DE HONORARIOS - PREVISION ", 326
"EJECUCION DE HONORARIOS DE MEDIACION LEY 13.951 ", 370
"EJECUCION DE SENTENCIA - EMPL.PUBLICO ", 357
"EJECUCION DE SENTENCIA - OTROS JUICIOS ", 387
"EJECUCION DE SENTENCIA - PREVISION ", 327
"EXHORTOS - EMPL.PUBLICO ", 351
"EXHORTOS - OTROS JUICIOS ", 381
"EXHORTOS - PREVISION ", 321
"EXPROPIACION DIRECTA - OTROS JUICIOS ", 388
"EXPROPIACION INVERSA - OTROS JUICIOS ", 389
"HABEAS DATA ", 303
"HOMOLOGACION - EMPL.PUBLICO ", 353
"HOMOLOGACION - OTROS JUICIOS ", 383
"HOMOLOGACION - PREVISION ", 323
"HOMOLOGACION MEDIACION LEY 13.951 ", 399
"IMPUGNACION CONTRA ACTOS DE ENTES PUBL. NO ESTATS. - OTROS JUICIO ", 396
"IMPUGNACION CONTRA RESOLS. DE COL. O CONS. PROFES. - OTROS JUICIO ", 395
"IMPUGNACION CONTRA RESOLS. DEL TRIBUNAL DE CUENTAS - OTROS JUICIO ", 392
"INCIDENTE - EMPL.PUBLICO ", 354
"INCIDENTE - OTROS JUICIOS ", 384
"INCIDENTE - PREVISION ", 324
"INDEMNIZACION SUSTITUTIVA POR DAÑO AMBIENTAL COLECTIVO ", 398
"LIMITACION AL DOMINIO POR RAZON DE INTERES PUBLICO - OTROS JUICIO ", 391
"MATERIA A CATEGORIZAR - EMPL.PUBLICO ", 358
"MATERIA A CATEGORIZAR - OTROS JUICIOS ", 394
"MATERIA A CATEGORIZAR - PREVISION ", 328
"MEDIDA CAUTELAR AUTONOMA O ANTICIPADA - EMPL.PUBLICO ", 341
"MEDIDA CAUTELAR AUTONOMA O ANTICIPADA - OTROS JUICIOS ", 371
"MEDIDA CAUTELAR AUTONOMA O ANTICIPADA - PREVISION ", 311
"OFICIOS - EMPL.PUBLICO ", 352
"OFICIOS - OTROS JUICIOS ", 382
"OFICIOS - PREVISION ", 322
"PRETENSION ANULATORIA - EMPL.PUBLICO ", 344
"PRETENSION ANULATORIA - OTROS JUICIOS ", 374
"PRETENSION ANULATORIA - PREVISION ", 314
"PRETENSION CESACION VIA DE HECHO ADMINISTRATIVA ", 302
"PRETENSION DECLARATIVA DE CERTEZA - EMPL.PUBLICO ", 345
"PRETENSION DECLARATIVA DE CERTEZA - OTROS JUICIOS ", 375
"PRETENSION DECLARATIVA DE CERTEZA - PREVISION ", 315
"PRETENSION INDEMNIZATORIA - EMPL.PUBLICO ", 346
"PRETENSION INDEMNIZATORIA - OTROS JUICIOS ", 376
"PRETENSION INDEMNIZATORIA - PREVISION ", 316
"PRETENSION RESTABLECIMIENTO O RECONOC. DE DERECHOS - EMPL.PUBLICO ", 347
"PRETENSION RESTABLECIMIENTO O RECONOC. DE DERECHOS - OTROS JUICIO ", 377
"PRETENSION RESTABLECIMIENTO O RECONOC. DE DERECHOS - PREVISION ", 317
"PROC.SUMARIO CONTRA SANCS.EN MAT.DE EMPLEO PUBLICO ", 359
"PROCESO SUMARIO DE ILEGITIMIDAD - EMPL.PUBLICO ", 348
"PROCESO SUMARIO DE ILEGITIMIDAD - OTROS JUICIOS ", 378
"PROCESO SUMARIO DE ILEGITIMIDAD - PREVISION ", 318
"PRUEBA ANTICIPADA - EMPL.PUBLICO ", 349
"PRUEBA ANTICIPADA - OTROS JUICIOS ", 379
"PRUEBA ANTICIPADA - PREVISION ", 319
"REGULACION DE HONORARIOS POR ACTS. ADMINISTRATIVAS - EMPL.PUBLICO ", 350
"REGULACION DE HONORARIOS POR ACTS. ADMINISTRATIVAS - OTROS JUICIO ", 380
"REGULACION DE HONORARIOS POR ACTS. ADMINISTRATIVAS - PREVISION ", 320
"SERVIDUMBRES ADMINISTRATIVAS - OTROS JUICIOS ", 390
