Nombre,Codigo
"ABRIGO ", 550
"ACTAS DE EXPOSICION/DENUNCIA ", 551
"ADOPCION. ACCIONES VINCULADAS ", 781
"AMPARO ", 560
"COBRO DE HONORARIOS ", 561
"CURATELA ", 552
"DETERMINACION DE LA CAPACIDAD JURIDICA ", 574
"EJECUCION DE HONORARIOS DE MEDIACION LEY 13.951 ", 785
"EJECUCION DE SENTENCIA ", 562
"EXCLUSION DEL HOGAR (art. 237 bis del CPCC) ", 569
"EXHORTOS Y OFICIOS ", 563
"GUARDA CON FINES DE ADOPCION ", 783
"GUARDA DE PERSONAS (art. 234 del CPCC) ", 570
"HOMOLOGACION DE CONVENIO ", 564
"HOMOLOGACION MEDIACION LEY 13.951 ", 782
"INCIDENTE DE EJECUCION DE TASA DE JUSTICIA ", 565
"INHABILITACION ", 555
"MATERIA A CATEGORIZAR ", 566
"MATERIA DE OTRO FUERO ", 567
"MEDIDAS ART. 12 CDPD (LEY 26378) ", 575
"MEDIDAS PRECAUTORIAS (art. 232 del CPCC) ", 571
"MEDIDAS PRELIMINARES (art. 323 CPCC) ", 572
"PROTECCION CONTRA LA VIOLENCIA FAMILIAR (LEY12569) ", 558
"ABLACION DE ORGANOS ", 272
"ABRIGO ", 405
"ACCION CALIFICACION DEL BIEN ", 760
"ACCION COMPENSACION ECONOMICA ", 761
"ACCION CONTESTACION O USURPACION DE NOMBRE ", 700
"ACCION POR DENEGATORIA DE NOMBRE ", 240
"ACCION POR USO ILICITO O IMPROPIO DEL NOMBRE ", 701
"ACCION RECLAMACION O RECONOCIMIENTO DE NOMBRE ", 702
"ACCIONES DE IMPUGNACION DE FILIACION ", 773
"ACCIONES DE NEGACION DE FILIACION ", 774
"ACCIONES DE RECLAMACION DE FILIACION ", 775
"ACTAS DE EXPOSICION/DENUNCIA ", 298
"ADMINSTRACION DE BIENES DE LOS HIJOS ", 703
"ADOPCION. ACCIONES VINCULADAS ", 269
"ALIMENTOS ", 32
"AMPARO ", 263
"ATRIBUBUCION VIVIENDA FAMILIAR ", 769
"AUTORIZACION JUDICIAL ", 704
"BENEFICIO DE LITIGAR SIN GASTOS ", 243
"CAMBIO DE NOMBRE ", 244
"CELEBRACION DE MATRIMONIO EN ARTICULO DE MUERTE ", 721
"COBRO DE HONORARIOS ", 282
"COMUNICACION CON LOS HIJOS ", 715
"CUIDADO PERSONAL DE HIJOS ", 716
"CURATELA ", 52
"DEBER DE CONTRIBUCION ", 770
"DELEGACION DE LA RESPONSABILIDAD PARENTAL ", 777
"DENUNCIA IMPEDIMENTO/OPOSICION MATRIMONIAL ", 705
"DENUNCIA REG. CIVIL CAPACIDAD PERS.(DOBLE INSC.) ", 252
"DERECHO A CONOCER ORIGEN ", 776
"DERECHO DE COMUNICACIÓN ", 717
"DETERMINACION DE LA CAPACIDAD JURIDICA ", 422
"DISPENSA PARA CONTRAER MATRIMONIO ", 246
"DISPENSA PARA RECONOCER HIJO ", 247
"DIVORCIO POR PRESENTACION CONJUNTA ", 762
"DIVORCIO POR PRESENTACION UNILATERAL ", 763
"EJECUCION DE HONORARIOS DE MEDIACION LEY 13.951 ", 784
"EJECUCION DE SENTENCIA ", 285
"EJERCICIO DE LA RESPONSABILIDAD PARENTAL ", 718
"EJERCICIO DE LOS DERECHOS DEL MENOR DE EDAD ", 706
"EMANCIPACION ", 707
"EXCLUSION DEL HOGAR (art. 237 bis del CPCC) ", 417
"EXEQUATUR ", 250
"EXEQUIAS ", 722
"EXHORTOS Y OFICIOS ", 283
"EXHUMACION DE CADAVER ", 273
"GUARDA A PARIENTES ", 778
"GUARDA CON FINES DE ADOPCION ", 403
"GUARDA DE PERSONAS (art. 234 del CPCC) ", 418
"HOMOLOGACION DE CONVENIO ", 258
"HOMOLOGACION DELEGACION DE LA RESPONSABILIDAD PARENTAL ", 779
