Nombre,Codigo
"ACCION CONFESORIA ", 58
"ACCION CONTRA LEGATARIO ", 610
"ACCION DE COLACION ", 3
"ACCION DE COMPLEMENTO DE LA PARTICION ", 611
"ACCION DE DESLINDE ", 601
"ACCION DE DESPOJO ", 642
"ACCION DE ENTREGA DE LA LEGITIMA ", 612
"ACCION DE MANTENER TENENCIA O POSESION ", 643
"ACCION DE REAJUSTE ", 613
"ACCION DE REDUCCION ", 78
"ACCION DE REEMBOLSO. ", 614
"ACCION DE RESTITUCION ", 127
"ACCION DE SECUESTRO (ART.39 LEY 12962) ", 295
"ACCION DECLARATIVA (SUMARIO) ", 128
"ACCION DECLARATIVA (TRAM. SUMARISIMO) ", 142
"ACCION DIRECTA ", 636
"ACCION NEGATORIA ", 59
"ACCION PREVENTIVA -DAÑOS- ", 625
"ACCION REIVINDICATORIA ", 602
"ACCION REVOCATORIA CONCURSAL ", 60
"ACCION REVOCATORIA O PAULIANA ", 61
"ACCION SUBROGATORIA ", 62
"ACCION VINCULADA AL SUBCONTRATO ", 637
"ACCIONES DERIVADAS - CEMENTERIO PRIVADO ", 603
"ACCIONES DERIVADAS - CONJUNTO INMOBILIARIO ", 604
"ACCIONES DERIVADAS - DERECHO DE SUPERFICIE ", 605
"ACCIONES POSESORIAS ", 97
"ACEPTACION DE PRESTACIONES FIDEICOMISO ", 606
"ACUERDO PREVENTIVO EXTRAJUDICIAL ", 654
"ADJUDICACION DE INMUEBLES (LEY 9434) ", 289
"ADMINISTRACION DE BIENES ", 79
"ADMINISTRACION Y LIQUIDACION DE HERENCIA ", 615
"ADQUISICION MERCADERIAS P/CUENTA TERCEROS ", 158
"AFECTACION A LA VIVIENDA ", 655
"AMPARO ", 10
"APREMIO ", 42
"AUSENCIA CON PRESUNCION FALLECIMIENTO ", 24
"AUSENCIA POR DESAPARICION FORZADA (L24321) ", 25
"AUSENCIA SIMPLE ", 165
"AUTORIZACION RECIBIR PRECIO POR EL VENDEDOR ", 159
"AUTORIZACIONES (EXCEPTO ART. 6 LEY 11867) ", 160
"BENEFICIO DE LITIGAR SIN GASTOS ", 171
"CAMINO DE SIRGA ", 628
"CANCELACION DE HIPOTECA ", 129
"CANCELACION DE PRENDA ", 130
"CANCELACION INSCRIPCION -LEASING- ", 638
"CANCELACION PLAZO FIJO ", 132
"CANCELACION TITULO EJECUTIVO ", 131
"CESE DE INFRACCION PROPIEDAD HORIZONTAL ", 644
"CESE DE INMISION ", 607
"CESE DEL FIDUCIARIO ", 645
"CESION DE HERENCIA ", 616
"COBRO ALQUILERES DE BIENES MUEBLES ", 104
"COBRO DE MEJORAS PREDIOS RURALES ", 105
"COBRO DE PASTOREO ", 106
"COBRO EJECUTIVO ", 12
"COBRO EJECUTIVO ARRENDAMIENTOS ", 143
"COBRO EJECUTIVO DE ALQUILERES ", 13
"COBRO EJECUTIVO DE CANON -LEASING- ", 649
"COBRO EJECUTIVO DE EXPENSAS ", 650
"COBRO EJECUTIVO DE TIEMPO COMPARTIDO ", 651
"COBRO ORDINARIO DE SUMAS DE DINERO ", 4
"COBRO SUMARIO ALQUILERES ", 107
"COBRO SUMARIO ARRENDAMIENTOS ", 108
"COBRO SUMARIO DE CREDITOS LABORALES ", 276
"COBRO SUMARIO SUMAS DINERO (EXC.ALQUILERES, etc.) ", 109
"COMPENSACION POR CLIENTELA -CONTRATO DE AGENCIA- ", 608
"CONCURSO PREVENTIVO(GRANDE) ", 16
"CONCURSO PREVENTIVO(PEQUEÑO) ", 26
"CONDOMINIO SOBRE MUROS CERCOS Y FOSOS ", 629
"CONDOMINIO-ACCIONES DERIVADAS (EXCEPTO DIVISION) ", 63
"CONSIGNACION DE COSAS ", 630
"CONSIGNACION DE SUMAS DINERO, ALQ., ARRENDAM. ", 112
"CONSIGNACION MUEBLES Y LLAVES ", 111
"CONVOCATORIA ASAMBLEA -CONSORCIO- ", 641
"CUESTIONES VINCULADAS CON INMUEBLE COLINDANTE ", 631
"CUMPLIMIENTO CONTRATO DE TRANSPORTE ", 113
"CUMPLIMIENTO DE CONTRATOS CIVILES/COMERCIALES ", 64
"CURATELA ART. 12 CODIGO PENAL ", 161
"DAÑOS Y PERJ. AUTOM. S/LESIONES (EXC. ESTADO) ", 100
"DAÑOS Y PERJ. ESTADO (USO AUTOM. S/LESIONES) ", 96
"DAÑOS Y PERJ. ESTADO (USO AUTOM.C/LES. O MUERTE) ", 95
"DAÑOS Y PERJ. INCUMP. CONTRACTUAL (EXC. ESTADO) ", 80
"DAÑOS Y PERJ. RESP. ESTADO (DEL/CUAS.EXC.AUTOM.) ", 94
"DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO) ", 99
"DAÑOS Y PERJ.RESP.EJERC.PROF /.FUNCIONARIOS ", 600
"DAÑOS Y PERJ.RESP.ESTADO(EJERC.PROF.FUNCIONARIOS) ", 19
"DAÑOS Y PERJ.RESP.PROFESIONAL (EXCLUIDO ESTADO) ", 54
"DAÑOS Y PERJUICIOS EXTRACONTRACTUAL (EXC. AUTOM./ESTADO) ", 626
"DAÑOS Y PERJUICIOS POR AFECTACION A LA DIGNIDAD ", 627
"DAÑOS Y PERJUICIOS POR ENRIQUECIMIENTO S/CAUSA ", 65
"DAÑOS Y PERJUICIOS PROV. EXPLOTACION AGRICOLA ", 101
"DAÑOS Y PERJUICIOS RESP. CONTRACTUAL ESTADO ", 81
"DERECHO DE ACRECER ", 82
"DESAFECTACION A LA VIVIENDA ", 656
"DESALOJO (EXCEPTO POR FALTA DE PAGO) ", 114
"DESALOJO ANTICIPADO ", 115
"DESALOJO FALTA DE PAGO ", 9
"DESALOJO RURAL ", 116
"DESIGNACION DE ADMINISTRADOR INTERINO -FUNDACIONES- ", 658
"DETERMINACION PRECIO ARRENDAMIENTOS ", 639
"DETERMINACION PRECIO/ALQUILERES ", 646
"DILIGENCIAS PRELIMINARES ", 166
"DISOLUCION Y LIQ.DE SOCIEDAD (INC.SOC. DE HECHO) ", 66
"DIVISION COSAS COMUNES ", 118
"DIVISION DE CONDOMINIO ", 117
"DIVISION DE HERENCIA/CESE DE INDIVISION ", 617
"DOMINIO-ACCIONES DERIVADAS ", 67
"DONACION-REVOCACION DE ", 83
"EJECUCION DE HONORARIOS DE MEDIACION LEY 13.951 ", 416
"EJECUCION DE SENTENCIA ", 148
"EJECUCION HIPOTECARIA ", 14
"EJECUCION HONORARIOS ", 144
"EJECUCION LAUDO ARBITRAL ", 146
"EJECUCION MULTAS PROCESALES Y ASTREINTES ", 145
"EJECUCION PRENDARIA ", 15
"EJECUCION TRANSACCIONES O ACUERDOS HOMOLOGADOS ", 147
"ESCRITURACION ", 6
"EVICCION ", 84
"EXAMEN DE LOS LIBROS DEL SOCIO ", 175
"EXCLUSION DE HERENCIA ", 85
"EXEQUATUR ", 167
"EXHORTO ", 176
"EXPROPIACION DIRECTA ", 150
"EXPROPIACION INVERSA ", 151
"FIJACION HONORARIOS EXTRAJUDICIALES ", 134
